form_id,form_name,raw_text,filled_by,submitted_by,submission_target,signer,required_attachments,is_mandatory,source_document,source_page,notes
서식1,,"【서식1】지역특화형 비자사업 추천서 발급신청서
(1쪽)
※ (*)는 필수적 기재항목입니다.
신청유형(*) ① 지역우수인재[ ] ② 숙련기능인력 [ ] ③ 외국국적동포[ ] ※ 해당유형에 ◯ 작성
성명 외국인등록번호 및 여권번호 신청 거주지 유형
일반(거주지, 근무처 기초지자체 동일)
① 주소 (우편번호 : )
(현거주지)
② 주소 (우편번호 : )
개인정보(*) (거주예정지)
전화 휴대전화
전화번호
(택1가능) 무료 문자서비스 [ ]받음 [ ]받지 않음
③ 연락처
전자우편
이메일수신 서비스 [ ]받음 [ ] 받지 않음
현재
체류자격 ① 현재 체류자격 [ ] ② 국 적[ ]
및 국적(*)
신청인과의관계 성명 외국인등록번호(국내거소신고번호) 국적 체류자격
동반가족
인적사항
(외국국적동포
작성)
학교명 전공(부전공) 재학기간 상태
최종 [ ]졸업(예정) [ ]재학 [ ]수료 [ ]휴학
년 월 ~ 년 월
[ ]중퇴 [ ]검정고시 [ ]독학사
학력사항(*)
[ ]졸업(예정) [ ]재학 [ ]수료 [ ]휴학
년 월 ~ 년 월
[ ]중퇴 [ ]검정고시 [ ]독학사
근무처 직위 담당 업무 근무기간(연, 월)
주요
년 월 ~ 년 월
경력사항
년 월 ~ 년 월
( 년 월 취득)
보유자격
( 년 월 취득)
컴퓨터
[ ]문서 작성 [ ]스프레드시트 [ ]프리젠테이션 [ ]회계프로그램 [ ]기타( )
이력사항 활용능력
한국어 능력 수준 공인시험 명칭 등급ㆍ점수
한국어
[ ]상 [ ]중 [ ]하 급(점)
능력
[ ]상 [ ]중 [ ]하 급(점)
회사명 연락처 업종 ex) 식료품 제조업 사업자등록번호
취업처(*)
① 주소 (우편번호 : )
(근무처주소)
210㎜×297㎜[보존용지(2종)70g/㎡]
- 13 -",,,,,,,,13,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식1-2,,"【서식1-2】위 임 장
위 임 장
위임내용 숙련기능인력 지자체 추천서 발급 신청접수
수임인 성 명 ( 법 인 명 ) : (인)
주민(법인)등록번호 :
주 소 :
연 락 처 :
위 사람법인을 위임내용에 대해 수임인으로 정하고 본 위임장을 제출합니다
위임인 성 명 : (인)
외 국 인 등 록 번 호 :
주 소 :
연 락 처 :
붙임 위임인 신분증 및 행정사 등 대행관련 자격증 각 부
○○ 시장·군수 귀하
- 15 -",,,,,,,,15,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식3,,"【서식3】점수제 자체 심사표
점수제 자체 심사표 :
외국인 본인이 작성
(주의) 신청인 또는 근무처가 점수제 숙련기능인력 전환에 관한 각종 신청 시 허위 서류를 제출하거나 허위 사실을
기재·진술한 경우 비자 신청 제한 등 불이익을 받을 수 있으며, 관계 법령에 따라 형사처벌을 받을 수 있음
지역특화형 숙련기능인력(E-7-4R) 점수제 자체 심사표
영 문 외 국 인
성 명 등록번호
회사명 국 적
㉠ 최근 10년간 해당 자격(E-9, E-10, H-2)으로 2년 이상 체류한 現 등록외국인으로
현재 근무처에서 정상 근로 중(인구감소지역 특례자 포함) ( )
기본요건
㉡ 추천지역을 관할하는 광역지자체장의 추천서를 발급받음 ( )
(㉠ ~ ㉣ 모두
㉢ 3년 이상 추천지역에서 거주하면서 취업활동을 할 예정으로, 연봉 2,600만원(농․축산업,
충족해야 함)
어업․내항상선: 2500만원) 이상으로 향후 2년 이상 E-7-4 고용계약 ( )
㉣ 현재 1년 이상 근무 중인 기업의 추천을 받았음 ( )
최근 2년 연간 평균소득(①)이 50점 이상이고, 한국어능력(③)이
㉠ 기본항목 충족
점수요건 50점 이상이면서 총점이 200점 이상 ( )
(㉠과 ㉡ 중 최근 2년 연간 평균소득(①)이 50점 이상으로 총점 150점 이상이나
하나만 체크) ㉡ 한국어능력 특례자 한국어능력(③)이 없는 사람 ( )
※ 최초 체류기간 연장 시 한국어능력 요건 보완 필요
구 분 점수 제출 서류
기
① 최근 2년 연간 평균소득
본 ② 한국어 능력
항 ③ 나이
목 소 계
① 중앙부처 추천
추천 ② 광역지방자치단체 추천
가
③ 고용기업 추천
점
④ 현재 근무처 3년 이상 근속
항 ⑤ 인구감소지역 또는 읍면 지역 3년 이상 근무
⑥ 기능사 이상 자격증·국내대학 학위
목
⑦ 국내 운전면허증 소지
소 계
감
① 벌금 100만원 미만의 형을 받은 이력
점 ② 조세체납으로 체류허가 제한을 받은 이력
항 ③ 출입국관리법 3회 이하 위반으로 행정
목 처분을 받은 이력
총 점
작성일 : 20 . . . 작성자 : (서명)
- 16 -",,,,,,,,16,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식4,,"【서식4】점수제 자체 심사표
신상 기술서 :
외국인 본인이 작성
(주의) 허위 사실을 기재·진술한 경우 비자 신청 제한 등 불이익을 받을 수 있으며, 관계 법령에 따라
형사처벌을 받을 수 있음
지역특화형 숙련기능인력(E-7-4R) 외국인 신상 기술서
외 국 인
영문 성명
등록번호
국 적 전화 번호
최종학력 󰏚고졸 󰏚학사 󰏚석사 󰏚박사 최종학교명
결혼 여부 󰏚결혼 󰏚미혼 결혼 일자
국내 체류 여부
관계 성 명 생년월일
(과거 체류 포함)
배우자 □있음 □없음
자녀1 □있음 □없음
가족 관계
자녀2 □있음 □없음
자녀3 □있음 □없음
자녀4 □있음 □없음
상기 내용이 모두 사실임을 확인합니다.
작성일 : 20 . . . 작성자 : (서명)
- 17 -",,,,,,,,17,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식5,,"【서식5】고용기업 추천서
고용기업 추천 양식
(주의) 기업체 추천은 해당 외국인이 현재 근무 중인 사업체의 대표자만 추천할 수 있음
※ 부정 청탁이나 금품 등을 수수하고 한 추천 등 부정한 추천은 추천자 및 해당 기업, 피추천
외국인에게 불이익이 발생할 수 있으며, 관계 법령에 따라 형사처벌을 받을 수 있음
지역특화형 숙련기능인력(E-7-4R) 고용기업 추천서
영문명 외국인등록번호
외국인
국 적 성 별
현근무처
총 년(00.00.00.~ 00.00.00., 00.00.00.~ 00.00.00.)
근무기간
업체명 사업자등록번호
상시근로자 수
(3개월 이상 고용보험 가입된 내·외국인)
대표자
추천자 현 고용 중인 숙련
기능인력(E-7-4) 수
소재지
및연락처
(전화번호 : )
위 외국인이 현재 1년 이상 우리 업체에 근무 중(인구감소지역으로 변경한
경우 근무예정자 포함)인 것이 확실하며, 업무 숙련도 및 사회통합도 등을
추 천
충분히 갖추고 있어 숙련기능인력(E-7-4)에 해당되는 것은 물론 미래
내 용
대한민국의 사회일원으로서 충분한 자질과 능력을 갖추고 있다고 판단
하여 추천자 사업장에 꼭 필요한 필수인력으로 추천합니다.
붙임: 추천자 신분증 사본(주민등록증 또는 운전면허증)
20 년 월 일
위 추천자 성명 서명(인)
- 18 -",,,,,,,,18,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식6,,"【서식6】외국인근로자 표준근로계약서(예시)
■ 외국인근로자의 고용 등에 관한 법률 시행규칙 [별지 제6호서식] <개정 2020. 1. 10.>
(앞쪽)
아래 당사자는 다음과 같이 근로계약을 체결하고 이를 성실히 이행할 것을 약정한다.
The following parties to the contract agree to fully comply with the terms of the contract stated hereinafter.
업체명 Name of the enterprise 전화번호 Phone number
사용자 소재지 Location of the enterprise
Employer
성명 Name of the employer 사업자등록번호(주민등록번호)
Identification number
근로자 성명 Name of the employee 생년월일 Birthdate
Employee 본국주소 Address(Home Country)
- 신규 또는 재입국자: ( ) 개월
- 사업장변경자: 년 월 일 ~ 년 월 일 ※ 근로계약기간 2년 이상
1. 근로계약기간
* 수습기간: [ ]활용(입국일부터 [ ]1개월 [ ]2개월 [ ]3개월 [ ]개월) [ ]미활용
※ 신규 또는 재입국자의 근로계약기간은 입국일부터 기산함(다만,「외국인근로자의 고용 등에 관한 법률」제
18조의4제1항에 따라 재입국(성실재입국)한 경우는 입국하여 근로를 시작한 날부터 기산함).
- Newcomer or Re-entering employee: ( ) month(s)
- Employee who changed workplace: from ( YY/MM/DD) to ( YY/MM/DD)
1. Term of * Probation period: [ ] Included (for [ ] 1 month [ ] 2 months [ ] 3
Labor months from entry date – or specify other: .), [ ] Not included
contract ※ The employment term for newcomers and re-entering employees will begin on their date
of arrival in Korea, while the employment of those who re-entered through the committed
workers’ system will commence on their first day of work as stipulated in Article 18-4 (1)
of Act on Foreign Workers` Employment, etc.
2. 근로장소 ※ 근로자를 이 계약서에서 정한 장소 외에서 근로하게 해서는 안 됨.
2. Place of
※ The undersigned employee is not allowed to work apart from the contract enterprise.
employment
- 업종:
- 사업내용:
3. 업무내용
- 직무내용:
※ 외국인근로자가 사업장에서 수행할 구체적인 업무를 반드시 기재
- Industry:
3. Description - Business description:
of work - Job description:
※ Detailed duties and responsibilities of the employee must be stated
시 분 ~ 시 분
- 1일 평균 시간외 근로시간: 시간
4. 근로시간
(사업장 사정에 따라 변동 가능: 시간 이내)
- 교대제 ([ ]2조2교대, [ ]3조3교대, [ ]4조3교대, [ ]기타)
※ 가사사용인, 개인간병인의 경우에는
from ( ) to ( ) 기재를 생략할 수 있음.
- average daily over time: hours
4. Working (changeable depending on the condition of ※ Employers of workers in domestic
hours a company): up to hour(s)) help, nursing can omit the
- shift system ([ ]2groups 2shifts, [ ]3groups working hours.
3shifts, [ ]4groups 3shifts, [ ]etc.)
5. 휴게시간 1일 분
5. Recess hours ( ) minutes per day
[ ]일요일 [ ]공휴일([ ]유급 [ ]무급)
6. 휴일
[ ]매주 토요일 [ ]격주 토요일, [ ]기타( )
[ ]Sunday [ ]Legal holiday([ ]Paid [ ]Unpaid)
6. Holidays
[ ]Every saturday [ ]Every other Saturday [ ]etc.( )
210mm×297mm[백상지(80g/㎡) 또는 중질지(80g/㎡)]
- 19 -",,,,,,,,19,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식7,,"【서식7】신원보증서(별지 제129호)
■ 출입국관리법 시행규칙 [별지 제129호서식]
※ [ ]에는 해당하는 곳에 √ 표시를 합니다. (앞쪽)
성 명 漢字
생년월일 성별
[ ]남 [ ]여
피보증
국적 여권번호
외국인
대한민국 주소 전화번호
체류목적
가. 인적사항
성명 漢字
국적 성별
[ ]남 [ ]여
여권번호 또는 생년월일 전화번호
주소
피보증인과의 관계
신원보증인
근무처 직위
근무처 주소 비고
나. 보증기간(보증기간의 최장기간은 4년으로 한다)
다. 보증내용
(1) 체류 중 제반 법규를 준수하도록 한다.
(2) 출국여비 및 이와 관련된 비용에 대한 지불책임을 부담한다.
(3) 체류 또는 보호 중 발생되는 비용에 대한 지불책임을 부담한다.
위 신원보증인은 피보증외국인이 대한민국에 체류함에 있어서 그 신원에 이상이 없음을 확인하
고 위 사항을 보증합니다.
년 월 일장
신원보증인 (서명 또는 인)
210mm×297mm[백상지 80g/㎡(재활용품)]
- 21 -",,,,,,,,21,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식8,,"【서식8】광역지자체장 추천서
지역특화형 비자 지방자치단체 추천서
추천일자 20 . . . 지역우수인재(F-2-R) □
비자 지역숙련인력(E-7-4R) □
추천기관 (광역)
유형 지역재외동포(F-4-R) □
추천지역 (기초) 지역재외동포가족(F-3-2R) □
신규추천 □ 재추천 □
추천 추천
근무처 변경 □ 취‧창업간 변경 □
발급번호 구분
※ 신규추천 외 동일한
발급번호 사용 재추천 사유 :
인적사항
성 명 국 적
외국인등록번호 연락처
거주지
취‧창업 정보 (F-2-R, E-7-4R만 작성)
원칙 추천지역 거주+추천지역 취‧창업 □
거주 및
유형A 추천지역 거주+동일 광역지자체 취업 □
취‧창업
세부유형 유형B 추천지역 가족동반 거주+광역지자체 취업 □ 업종
* F-2-R만
유형C 동일 광역지자체 거주+추천지역 취업 □
해당
유형D 동일 광역지자체 거주+추천지역 창업 □
회사명 사업자등록번호
소재지 (연락처 : )
위 외국인이 지역특화형 비자 제도에서 정한 요건에 해당한다고 판단하여 법무부에
추천합니다.
20 . . .
추천기관 (직 인)
- 22 -",,,,,,,,22,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
서식9,,"【서식9】통합신청서
(출입국관리법 시행규칙 [별지 제34호서식] <개정 2022. 4. 12.>)
※ 신청서는 한글 또는 영문으로 작성하시기 바랍니다. (Please complete this form in Korean or English.)
□ 신청/신고 선택 SELECT APPLICATION/REPORT
[ ] 외국인 등록 [ ] 체류자격 외 활동허가 (희망 자격 : ) PHOTO
FOREIGN RESIDENT REGISTRATION
ENGAGE IN ACTIVITIES NOT COVERED BY THE STATUS 여권용 사진(35㎜×45㎜)
OF SOJOURN / Status to apply for ( )
[ ] 등록증 재발급 [ ] 근무처 변경ㆍ추가허가 / 신고 * 촬영일부터 6개월이 지나
REISSUANCE OF REGISTRATION CARD CHANGE OR ADDITION OF WORKPLACE 지 않아야 함
taken within last 6
[ ] 체류기간 연장허가 [ ] 재입국허가 (단수, 복수)
EXTENSION OF SOJOURN PERIOD REENTRY PERMIT (SINGLE, MULTIPLE) months
[ ] 체류자격 변경허가 (희망 자격 : ) [ ] 체류지 변경신고 * 외국인 등록 및 등록증
ALTERATION OF RESIDENCE
CHANGE OF STATUS OF SOJOURN 재발급 시에만 사진 부
/ Status to apply for ( ) 착
[ ] 체류자격 부여 (희망 자격 : ) [ ] 등록사항 변경신고 Photo only for Foreign
CHANGE OF INFORMATION ON REGISTRATION Resident Registration
GRANTING STATUS OF SOJOURN
(Reissued)
/ Status to apply for ( )
성명 성 Surname 명 Given names
Name In Full
생년월일 년 yyyy 월 mm 일 dd 성 별 [ ]남 M
Date of Birth Sex [ ]여 F 국적
Nationality
외국인등록번호
Foreign Resident Registration No.
여권번호 여권 발급일자 여권 유효기간
Passport No. Passport Issue Date Passport Expiry Date
대한민국 내 주소
Address In Korea
전화번호 Telephone No. 휴대전화 Cell phone No.
본국 주소 전화번호
Address In Home Country Phone No.
미취학[ ], 초[ ], 중[ ], 고[ ] 학교 이름 전화번호
재학 여부 Non-school[ ], Elementary[ ], Middle[ ], High[ ] Name of School Phone No.
School Status
학교 종류 교육청 인가[ ], 교육청 비인가, 대안학교[ ]
Type of School Accredited school by Education Office[ ], Non-accredited, Alternative school[ ]
원 근무처 사업자등록번호 전화번호
Current Workplace Business Registration No. Phone No.
근무처
Workplace 예정 근무처 사업자등록번호 전화번호
New Workplace Business Registration No. Phone No.
연 소득금액 Annual Income Amount 만원(ten thousand won) 직업 Occupation
재입국 신청 기간 Intended Period Of Reentry 전자우편 E-Mail
반환용 계좌번호(외국인등록 및 외국인등록증 재발급 신청 시에만 기재)
Refund Bank Account No. only for Foreign Resident Registration
신청일 Date of application 신청인 서명 또는 인 Signature/Seal
신청인 제출서류 「출입국관리법 시행규칙」 별표 5의2의 체류자격별ㆍ신청구분별 첨부서류 참고
(담당공무원 확인사항)
Please refer to the attached documents for each status of stay and each
Required documents for applicants
(Matters to be checked by officer in charge) application type in Annex 5-2 of the Enforcement Rule of the Immigration Act.
행정정보 공동이용 동의서 (Consent for sharing of administrative information)
본인은 이 건 업무처리와 관련하여 담당 공무원이 「전자정부법」 제36조에 따른 행정정보의 공동이용을 통하여 위의 담당 공무원 확인 사
항을 확인하는 것에 동의합니다. *동의하지 않는 경우에는 신청인이 직접 관련 서류를 제출해야 합니다.
I, the undersigned, hereby consent to allow all documents and information required for the processing of this application to be
viewed by the public servant in charge as specified in Article 36 of the Electronic Government Act. * If you disagree, you are
required to present all related documents in person.
신청인 서명 또는 인 신청인의 배우자 서명 또는 인 신청인의 부 또는 모 서명 또는 인
Applicant Signature/Seal Spouse of applicant Signature/SealFather/Mother of applicant Signature/Seal
공 용 란 (For Official Use Only)
기본 사항 최초입국일 체류자격 체류기간
접수 사항 접수일자 접수번호
체류자격
허가(신고) 사항 허가(신고) 일자 허가번호
체류기간
담 당 청장ㆍ소장
결 재
가 / 부
수입인지는 뒷면에 첨부(Revenue Stamp on the Backside) / 수수료 면제(exemption) [ ] (면제사유: )
210㎜×297㎜[백상지(80ｇ/㎡) 또는 중질지(80ｇ/㎡)]
- 23 -",,,,,,,,23,사람이 원문을 읽고 채워야 함 - 자동 채움 안 됨
