relation_id,parent_document_id,attachment_document_id,requirement_status,alternative_group,condition_note,display_order,valid_from,valid_to,source_document_id,source_page
a4741394-9763-4749-a465-6d6f7680beef,cb590ea3-0821-428a-b81e-017ddf6626b8,ddb3b023-4c2f-488b-8963-be47c40fb0d4,CONDITIONAL,,해당자,18,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
9da4e7bb-3355-4ad5-9797-bc40d652c3fa,cb590ea3-0821-428a-b81e-017ddf6626b8,a3d97a80-f2ad-442d-a65b-3a99f1a1ac94,CONDITIONAL,,투자자금 도입 입증,19,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
4266de4b-47ed-48c3-bd03-714f62627b87,cb590ea3-0821-428a-b81e-017ddf6626b8,4b324656-b442-440b-b03f-81578fe0312d,CONDITIONAL,,투자자금 도입 입증,20,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
395174bb-1779-4ea8-8f19-995ace87a895,cb590ea3-0821-428a-b81e-017ddf6626b8,4868232c-39c5-49d9-a089-ce35970a8ce7,CONDITIONAL,,투자자금 도입 입증,21,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
f944a8fe-2a81-4941-ac0e-4f9e2182796d,cb590ea3-0821-428a-b81e-017ddf6626b8,83fe0321-5c97-444e-b83b-5522c67cb336,CONDITIONAL,,"영수증, 인테리어 비용, 국내은행 계좌 입출금 내역 등",22,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
1f69092e-f8a5-4035-abe3-ad069212521e,cb590ea3-0821-428a-b81e-017ddf6626b8,5415a704-371e-455b-ab62-1d06d4dae169,REQUIRED,,,23,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
510cd03a-50eb-40d9-9f9e-b8fc82f0864c,cb590ea3-0821-428a-b81e-017ddf6626b8,414730cf-6b6d-4e63-be3e-591e9d4b596a,REQUIRED,,,24,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
f126a055-9a1e-42c9-96c0-84766f0fd564,cb590ea3-0821-428a-b81e-017ddf6626b8,b87eb278-ce10-419f-a872-82ae72b8584f,REQUIRED,,원문 오탈자 '증며서'를 '증명서'로 정규화,25,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
1f036fee-de1a-4989-89d0-92c2a9ad8f86,cb590ea3-0821-428a-b81e-017ddf6626b8,776ff863-0230-492e-97f5-ea1dd5efce0a,REQUIRED,,,26,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
a550aa43-7280-4429-8449-e27e5e4e6873,cb590ea3-0821-428a-b81e-017ddf6626b8,13761447-e924-4821-a999-6a7b4ceeeb8e,REQUIRED,,,27,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
0fa8c1a4-d8d2-4d62-a592-e55d7a16803a,cb590ea3-0821-428a-b81e-017ddf6626b8,74d649df-7e93-4767-b297-622227a12b53,ALTERNATIVE,EXCEPTION_ENTITY_TYPE,소상공인인 경우,28,2026-05-18,2027-12-31,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
280072ed-534d-4ab5-aefb-a7645e4aad13,cb590ea3-0821-428a-b81e-017ddf6626b8,3dab1bf8-ba25-4af6-9605-6bd3849079cb,ALTERNATIVE,EXCEPTION_ENTITY_TYPE,농업법인인 경우,29,2026-05-18,2027-12-31,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
48c4fcb7-5898-4784-95be-c2d54b2ea1ad,cb590ea3-0821-428a-b81e-017ddf6626b8,cd1d2c50-feed-479c-b811-5773fb010f30,ALTERNATIVE,SALES_PROOF,특례 신청 시 과세·면세 유형에 맞는 매출 입증서류 중 제출; 원문 '등'에 따라 목록은 비폐쇄,30,2026-05-18,2027-12-31,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
70ebc8a4-df87-4d1a-96c6-f871b9dfeb4d,cb590ea3-0821-428a-b81e-017ddf6626b8,3751de40-5ee8-4c2d-90c1-afbe8615b2ae,ALTERNATIVE,SALES_PROOF,특례 신청 시 과세·면세 유형에 맞는 매출 입증서류 중 제출; 원문 '등'에 따라 목록은 비폐쇄,31,2026-05-18,2027-12-31,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
a53a32d2-9e5e-448b-86c4-67603c5263a8,cb590ea3-0821-428a-b81e-017ddf6626b8,7c37cc2e-99d2-49dd-90f2-a889e27ed016,ALTERNATIVE,LANGUAGE_PROOF,기본소양 입증서류 3종 중 택1; 별도 유효기간이 있으면 신청일 당시 유효해야 함,32,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
7d072d7a-02e5-4da2-9717-14220c7c7f9e,cb590ea3-0821-428a-b81e-017ddf6626b8,0be54517-ec4a-422d-8b1f-27a76f3a24f5,ALTERNATIVE,LANGUAGE_PROOF,기본소양 입증서류 3종 중 택1; 별도 유효기간이 있으면 신청일 당시 유효해야 함,33,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
f5a36cba-fa3a-4b96-a961-54bbb3526c8e,cb590ea3-0821-428a-b81e-017ddf6626b8,ab7bc4d5-8acf-490e-8ce1-454d3ad9550e,ALTERNATIVE,LANGUAGE_PROOF,기본소양 입증서류 3종 중 택1; 별도 유효기간이 있으면 신청일 당시 유효해야 함,34,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
f217a06a-c65a-42f4-b11b-46e9ae285d09,cb590ea3-0821-428a-b81e-017ddf6626b8,f44fb09e-7b83-47fb-a666-3a7e4b496ea0,REQUIRED,,,35,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,9
