stage_id,visa_id,stage_order,stage_name,stage_name_kr,actor_from,actor_to,stage_start_date,stage_end_date,notes,notice_round,document_requirements_status,valid_from,valid_to,source_document,source_page,last_verified_at
bc64b5d9-04b4-481b-9ec6-15e889eaebd1,606d8651-1d04-47fe-8f69-165b3ed3d834,1,NOTICE_PUBLICATION,모집공고,충청북도(도 및 시군),일반 공개,2025-03-07,2025-03-07,"상시접수 방식이라 공고 자체는 3.7 게시, 신청기간 종료(9.18)까지 유지됨. 행정기관이 시작하는 공지 단계 — 신청자 리마인더 대상 아님.",12,not_checked,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf p.2,2,2026-08-14
02205103-eecf-4139-b270-0d34dbcbd5f3,606d8651-1d04-47fe-8f69-165b3ed3d834,2,APPLICATION_SUBMISSION,신청 접수,재외동포(신청자),시군(지역특화비자 담당부서),2025-03-07,2026-09-18,"상시접수. 매월 20일까지 접수분을 시군에서 심사(20일이 공휴일이면 전일까지). 신청자 본인 방문 접수 원칙, 부득이한 경우 행정사 대리신청 가능(위임장 필수).",12,not_checked,2025-03-07,2026-09-18,"충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf p.2,5","2,5",2026-08-14
04e97c33-a404-430a-988d-b9abb60bf5c3,606d8651-1d04-47fe-8f69-165b3ed3d834,3,MOJ_LIST_SUBMISSION,법무부 명단 제출,시군(또는 도),도 → 법무부/관할출입국,2025-03-07,2026-09-30,매월 1주차 금요일 추천서 발급 및 문자(SMS) 개별통보. 행정기관 간 처리 단계 — 신청자는 대기만 함.,12,not_checked,2025-03-07,2026-09-18,"충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf p.2,5","2,5",2026-08-14
55479387-c80c-4fbc-86a5-f8ab7e5ef014,606d8651-1d04-47fe-8f69-165b3ed3d834,4,STATUS_CHANGE_APPLICATION,체류자격 변경신청,재외동포(신청자),관할 출입국·외국인관서,2025-03-07,2026-12-31,"충북도지사 추천서(붙임9) 취득 후 관할 출입국관서에 신청. 출입국 관리 업무는 예약제 운영 — 청주·대전 출입국사무소 예약 필요(제천시는 재외동포지원센터, 그 외 5개 시군은 담당부서 방문하여 추천서 수령 후 신청).",12,not_checked,2025-03-07,2026-09-18,"충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf p.2,5,7","2,5,7",2026-08-14
